s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lon_deg,lat_deg
28.0,729.2020927237901,-337.11503117100636,-3.0952359346956304,-1.629557718828308e-11,3.0,118.82221488119616,31.885471644149927
28.200000000000003,729.0023075793197,-337.12429919418014,-3.09523593469612,3.98391651379711e-12,3.0,118.82221276749041,31.88547156089386
28.400000000000002,728.8025224361925,-337.1335672177494,-3.095235934696189,-1.7369888497586519e-12,3.0,118.82221065378468,31.885471477637786
28.6,728.6027372930653,-337.14283524131866,-3.0952359346960723,-7.37302932936559e-12,3.0,118.82220854007895,31.885471394381714
28.8,728.4029521485949,-337.15210326488796,-3.0952359346960185,-2.9981721714634676e-12,3.0,118.8222064263732,31.88547131112564
29.0,728.2031670041245,-337.1613712884572,-3.0952359346957414,2.1819537802343312e-11,3.0,118.82220431266745,31.88547122786957
29.200000000000003,728.0033818609973,-337.1706393120265,-3.095235934695775,2.257150356078371e-11,3.0,118.82220219896172,31.885471144613497
29.400000000000002,727.8035967165268,-337.1799073355958,-3.09523593469575,1.617517236850301e-11,3.0,118.82220008525597,31.885471061357425
29.6,727.6038115720564,-337.189175359165,-3.0952359346955824,-2.0802765410945783e-11,3.0,118.82219797155022,31.885470978101353
29.8,727.4040264289291,-337.1984433827343,-3.0952359346956144,-1.6415706181041993e-11,3.0,118.82219585784449,31.88547089484528
30.0,727.2042412844587,-337.20771140590807,-3.0952359346961176,6.4737552259813926e-12,3.0,118.82219374413874,31.88547081158921
30.200000000000003,727.0044561399884,-337.21697942947736,-3.095235934696141,4.365678762315682e-12,3.0,118.822191630433,31.88547072833314
30.400000000000002,726.8046709968611,-337.22624745304665,-3.095235934696177,-3.4048261888957073e-12,3.0,118.82218951672726,31.885470645077067
30.6,726.6048858523907,-337.2355154766159,-3.095235934696057,-6.217223674682647e-12,3.0,118.82218740302152,31.885470561820995
30.8,726.4051007079203,-337.2447835001852,-3.0952359346960185,-2.9261525709300633e-12,3.0,118.82218528931577,31.885470478564923
31.0,726.2053155647931,-337.2540515237544,-3.0952359346957428,2.1533236109625648e-11,3.0,118.82218317561004,31.88547039530885
31.200000000000003,726.0055304203227,-337.2633195473237,-3.0952359346957583,1.574898231338801e-11,3.0,118.82218106190429,31.885470312052778
31.400000000000002,725.8057452758522,-337.272587570893,-3.095235934695581,-2.109620576014804e-11,3.0,118.82217894819854,31.885470228796706
31.6,725.6059601340683,-337.28185559446223,-3.0952359346955642,-2.07766253282383e-11,3.0,118.82217683449282,31.885470145540634
31.8,725.4061749895978,-337.2911236180315,-3.095235934695637,-1.531432442709147e-11,3.0,118.82217472078707,31.88547006228456
32.0,725.2063898451274,-337.3003916412053,-3.0952359346961096,4.76852193442696e-12,3.0,118.82217260708133,31.885469979028493
32.2,725.0066047020002,-337.3096596647746,-3.0952359346961367,5.060415991600898e-12,3.0,118.8221704933756,31.88546989577242
32.4,724.8068195575298,-337.31892768873934,-3.095235934696194,-3.3450996772074657e-12,3.0,118.82216837966985,31.885469812516344
32.6,724.6070344130594,-337.3281957123086,-3.095235934695987,-3.203528101208986e-12,3.0,118.8221662659641,31.885469729260272
