index,s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lat_deg,lon_deg,elevation_m
66,32.97585872664126,27.85420646868443,10.135116894333544,1.4147569565834832,0.08333333333333333,3.0,,,
67,33.47514868918953,27.921521888792753,10.62984823649522,1.4563674553065267,0.08333333333333333,3.0,,,
68,33.974438651737806,27.968198963377127,11.126951563188676,1.4979779540295703,0.08333333333333333,3.0,,,
69,34.47372861428608,27.994156885842358,11.625566297189533,1.539588452752614,0.08333333333333333,3.0,,,
70,34.97301857683435,27.999350718253687,12.12482924474957,1.5811989514756575,0.08333333333333333,3.0,,,
71,35.472308539382624,27.9837714691326,12.623876089943765,1.6228094501987012,0.08333333333333333,3.0,,,
72,35.9715985019309,27.947446109022735,13.121842890960004,1.6644199489217448,0.08333333333333333,3.0,,,
73,36.470888464479174,27.890437523798923,13.61786757574115,1.7060304476447885,0.08333333333333333,3.0,,,
74,36.97017842702745,27.812844405800163,14.111091434390229,1.7476409463678322,0.08333333333333333,3.0,,,
75,37.46946838957572,27.714801082975058,14.600660605755078,1.7892514450908756,0.08333333333333333,3.0,,,
76,37.96875835212399,27.596477286335446,15.085727555618952,1.8308619438139193,0.08333333333333333,3.0,,,
77,38.46804831467227,27.458077856120806,15.56545254393801,1.872472442536963,0.08333333333333333,3.0,,,
78,38.967338277220534,27.29984238718218,16.039005078585674,1.9140829412600064,0.08333333333333333,3.0,,,
79,39.46662823976881,27.122044814199434,16.50556535308716,1.9556934399830501,0.08333333333333333,3.0,,,
80,39.965918202317084,26.92499293744998,16.96432566585514,1.9973039387060938,0.08333333333333333,3.0,,,
81,40.46520816486535,26.70902788994992,17.41449181846965,2.0389144374291375,0.08333333333333333,3.0,,,
82,40.96449812741363,26.474523546890104,17.855284490581543,2.080524936152181,0.08333333333333333,3.0,,,
83,41.463788089961895,26.221885878389458,18.285940589059216,2.122135434875225,0.08333333333333333,3.0,,,
84,41.96307805251017,25.951552246686084,18.705714569043117,2.1637459335982685,0.08333333333333333,3.0,,,
85,42.46236801505844,25.663990648982853,19.113879724620872,2.2053564323213117,0.08333333333333333,3.0,,,
86,42.96165797760671,25.359698907258206,19.50972944688885,2.2469669310443554,0.08333333333333333,3.0,,,
87,43.46094794015499,25.03920380644484,19.892578447221993,2.288577429767399,0.08333333333333333,3.0,,,
88,43.96023790270326,24.70306018246815,20.2617639436344,2.3301879284904428,0.08333333333333333,3.0,,,
89,44.45952786525154,24.35184996172328,20.616646808176768,2.3717984272134864,0.08333333333333333,3.0,,,
90,44.95881782779981,23.986181153653558,20.956612673384328,2.41340892593653,0.08333333333333333,3.0,,,
91,45.45810779034809,23.606686798174415,21.28107299585986,2.455019424659574,0.08333333333333333,3.0,,,
92,45.957397752896355,23.214023869764937,21.58946607515047,2.496629923382617,0.08333333333333333,3.0,,,
93,46.45668771544463,22.80887214012428,21.88125802615433,2.5382404221056607,0.08333333333333333,3.0,,,
94,46.955977677992905,22.391933001361945,22.155943703373907,2.5798509208287044,0.08333333333333333,3.0,,,
95,47.45526764054118,21.963928251759093,22.413047575415646,2.621461419551748,0.08333333333333333,3.0,,,
96,47.954557603089455,21.52559884620308,22.652124548222254,2.6630719182747917,0.08333333333333333,3.0,,,
